"","otu","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1817","OTU1817","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","unclassified","unclassified"
"1818","OTU1818","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1819","OTU1819","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1820","OTU1820","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1821","OTU1821","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"1822","OTU1822","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Marvinbryantia","unclassified"
"1823","OTU1823","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"1824","OTU1824","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1825","OTU1825","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","unclassified","unclassified","unclassified"
"1826","OTU1826","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1827","OTU1827","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Parasutterella","unclassified"
"1828","OTU1828","Bacteria","Proteobacteria","Gammaproteobacteria","unclassified","unclassified","unclassified","unclassified"
"1829","OTU1829","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1830","OTU1830","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1831","OTU1831","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Subdoligranulum","unclassified"
"1832","OTU1832","Bacteria","Tenericutes","Mollicutes","Mollicutes_RF9","unclassified","unclassified","unclassified"
"1833","OTU1833","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","unclassified"
"1834","OTU1834","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1835","OTU1835","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1836","OTU1836","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1837","OTU1837","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1838","OTU1838","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1839","OTU1839","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Barnesiella","unclassified"
"1840","OTU1840","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"1841","OTU1841","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1842","OTU1842","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1843","OTU1843","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1844","OTU1844","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1845","OTU1845","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1846","OTU1846","Bacteria","Firmicutes","Clostridia","Clostridiales","Christensenellaceae","unclassified","unclassified"
"1847","OTU1847","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1848","OTU1848","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1849","OTU1849","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","unclassified","unclassified"
"1850","OTU1850","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcus","unclassified"
"1851","OTU1851","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","unclassified","unclassified"
"1852","OTU1852","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1853","OTU1853","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1854","OTU1854","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1855","OTU1855","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","unclassified","unclassified","unclassified"
"1856","OTU1856","Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"1857","OTU1857","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","Parabacteroides","unclassified"
"1858","OTU1858","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia","unclassified"
"1859","OTU1859","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1860","OTU1860","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","unclassified","unclassified"
"1861","OTU1861","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1862","OTU1862","Bacteria","Firmicutes","Clostridia","Clostridiales","unclassified","unclassified","unclassified"
"1863","OTU1863","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1864","OTU1864","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Moryella","unclassified"
"1865","OTU1865","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Thermus","thermophilus"
"1866","OTU1866","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","unclassified"
"1867","OTU1867","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","unclassified"
"1868","OTU1868","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","unclassified"
"1869","OTU1869","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","unclassified","unclassified"
"1870","OTU1870","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1871","OTU1871","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","unclassified","unclassified"
"1872","OTU1872","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
"1873","OTU1873","Bacteria","Firmicutes","unclassified","unclassified","unclassified","unclassified","unclassified"
"1874","OTU1874","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","unclassified","unclassified"
