"","ID","Group","c","e","N","NLL"
"1815","M1070_s135_vaginal","Limosilactobacillus",0.980689040311697,0.316001043454964,2,71.714247711324
"1915","M1070_s135_vaginal","Mageeibacillus",0.231997183546819,0.549110311269386,1,34.4376639431263
"2014","M1070_s135_vaginal","Megasphaera",0.196311402632689,0.1515192804455,2,57.107874423062
"2110","M1070_s135_vaginal","Mobiluncus",0.286218175075503,0.156820603410935,1,29.7916111896184
"226","M1070_s135_vaginal","Parvimonas",1.10338466406898,0.144748796938841,1,22.5557351094679
"236","M1070_s135_vaginal","Peptoniphilus",0.71614352004329,0.238690671175427,3,100.652346298272
"246","M1070_s135_vaginal","Peptostreptococcus",0.898654431136157,0.692964435263045,1,45.2595229662453
"256","M1070_s135_vaginal","Porphyromonas",0.14583843476292,0.365208194937495,2,58.8103433332063
"265","M1070_s135_vaginal","Porphyromonas_A",0.509921004688708,0.50923480163947,1,42.6831660741077
"274","M1070_s135_vaginal","Prevotella",0.213998219697492,0.491173498179813,3,100.178196960667
"284","M1070_s135_vaginal","Prevotella_A",1.10338466406898,0.144748796938841,1,22.5557351094679
"294","M1070_s135_vaginal","Prevotella_B",0.127262659957988,0.103330790118371,1,22.0092227275058
"303","M1070_s135_vaginal","Prevotella_C",0.591767903507099,0.431721365486548,1,42.0215163159029
"318","M1070_s135_vaginal","Prevotella_D",0.333567373631145,0.836638772239112,1,37.309021600463
"323","M1070_s135_vaginal","Raoultella",0.115898711872999,1.2152704940364,1,18.6874985321168
"333","M1070_s135_vaginal","Sneathia",0.644033964649606,0.195604627388427,2,62.8649999445079
"343","M1070_s135_vaginal","Staphylococcus",0.624322891079423,0.623471771167281,1,44.4948298298536
"352","M1070_s135_vaginal","Streptococcus",0.217839003936558,0.337918351356191,3,102.805954241031
"362","M1070_s135_vaginal","Streptococcus_A",0.302700059851243,0.621157568860372,1,38.0417811087334
"371","M1070_s135_vaginal","Veillonella",0.114630833410107,0.338132687032677,1,25.379133565534
"227","M1070_s15_vaginal","Actinomyces_A",0.692576058226659,1.19025860730789,1,40.7379833597944
"319","M1070_s15_vaginal","Aerococcus",0.884769878697687,0.160319472236598,2,48.3891125925374
"416","M1070_s15_vaginal","Anaerococcus",0.383816104537423,0.323605601669231,3,109.403041258595
"516","M1070_s15_vaginal","Atopobium",0.714943000599691,0.341852497227105,1,36.7814954800801
"616","M1070_s15_vaginal","Bacteroides",0.23791233279875,0.633310810679181,1,31.508278143329
"716","M1070_s15_vaginal","Bifidobacterium",0.259110010607462,1.19526366567455,1,28.1972723175649
"816","M1070_s15_vaginal","Corynebacterium",0.189855094503605,0.53313180089865,1,28.9938422756919
"916","M1070_s15_vaginal","Dialister_A",0.982382186982966,0.236385759695698,1,28.9605452317456
"1016","M1070_s15_vaginal","Dialister_B",0.156723333156285,0.420444149043222,1,27.1900078596289
"1116","M1070_s15_vaginal","Dialister_C",0.627204622125101,0.735781246908645,1,41.4136747440348
"1216","M1070_s15_vaginal","Eggerthella",1.64543510288187,0.572137747522174,1,35.41900757592
"1316","M1070_s15_vaginal","Enterococcus",0.091591797811521,0.439357157763013,1,20.4194275310967
"1416","M1070_s15_vaginal","Escherichia",0.0650859752548709,0.208182558429759,1,18.3240493677976
"1516","M1070_s15_vaginal","Finegoldia",24.4603703048757,1.65774730850988,1,14.8976013592271
"1616","M1070_s15_vaginal","Fusobacterium",0.212332065942381,0.590035763881598,1,31.5744281301186
"1716","M1070_s15_vaginal","Gemella",1.30471073408173,0.694432110580471,1,40.2086138493402
"1816","M1070_s15_vaginal","Hoylesella",0.343458885701411,0.792927740597252,1,35.9048284629452
"1916","M1070_s15_vaginal","Lactobacillus",0.167188931260867,0.381526301178078,3,87.8833291439184
"2015","M1070_s15_vaginal","Lactobacillus_B",0.0387049374077277,0.18313653211702,1,12.3779878808
"2111","M1070_s15_vaginal","Limosilactobacillus",0.0632753944652157,0.249365345862287,1,17.2383013113136
"228","M1070_s15_vaginal","Mageeibacillus",0.21321427041487,0.286775261605612,1,32.5055549451695
"237","M1070_s15_vaginal","Megasphaera",0.254513571180632,0.135714303331501,2,52.7204018733791
"247","M1070_s15_vaginal","Mobiluncus",0.335713922290683,0.719309453962175,1,36.2879605260461
"257","M1070_s15_vaginal","Mycoplasma_A",0.196923899915636,0.581817899608269,1,29.6374434037266
"266","M1070_s15_vaginal","Mycoplasma_B",0.0356005431513745,0.116979152721375,1,11.2914712912725
"275","M1070_s15_vaginal","Parvimonas",15.322070264967,0.247092947536127,1,5.13515609653612
"285","M1070_s15_vaginal","Peptoniphilus",0.448127060467141,0.34412756739946,3,110.814202256265
"295","M1070_s15_vaginal","Peptostreptococcus",0.580064365343543,0.657878717510723,1,41.1563597334594
"304","M1070_s15_vaginal","Porphyromonas_A",0.58026551551811,1.00593200793288,1,39.8738525697493
"3110","M1070_s15_vaginal","Prevotella",0.487232375344479,0.678981856462039,2,80.0932743518776
"324","M1070_s15_vaginal","Prevotella_A",1.63405004918849,0.342713107381447,1,28.6477021510391
"334","M1070_s15_vaginal","Prevotella_B",12.2353929893594,2.30918841558395,1,27.5661661861771
"344","M1070_s15_vaginal","Prevotella_C",2.15145569790024,0.225584782104081,1,19.6055785879647
"353","M1070_s15_vaginal","Roseburia",0.120886991929806,0.275975473160919,1,25.2515254537609
"363","M1070_s15_vaginal","Sneathia",0.75107072260235,0.395048892385332,2,76.1240157857876
"372","M1070_s15_vaginal","Streptococcus",0.170596459864801,0.49133880945232,2,58.4892948456705
"381","M1070_s15_vaginal","Ureaplasma",0.228868656113381,0.672198942079702,1,32.0257446753627
"391","M1070_s15_vaginal","Veillonella",0.0953273619477411,0.415314853680918,2,43.2256970921819
"229","M1070_s17_vaginal","Aerococcus",0.916908580973675,0.201677330953346,2,49.3874252868568
"320","M1070_s17_vaginal","Anaerococcus",0.441558691667111,0.274668100393538,2,63.4031306167076
"417","M1070_s17_vaginal","Atopobium",0.550667969304948,0.551407050836654,1,37.1593050205425
"517","M1070_s17_vaginal","Bacteroides",0.168747323894535,0.0716929638358919,1,17.3457030334577
"617","M1070_s17_vaginal","Dialister_A",0.0938023287826104,0.0475148203976897,1,13.9707944787903
"717","M1070_s17_vaginal","Eggerthella",0.33311063877249,0.101813680712141,1,20.6643021679191
