"","ID","Group","c","e","N","NLL"
"12360","M5147_Bgtw12_gut","Enterococcaceae",0.708052378885018,0.622846353479346,2,40.5558914034217
"13306","M5147_Bgtw12_gut","Erysipelotrichaceae",0.197149413877781,0.0745611989386007,4,47.8352018881378
"14301","M5147_Bgtw12_gut","Howardella",0.0867095635024363,0.0828793804568928,1,8.7424985896572
"15294","M5147_Bgtw12_gut","Lachnospiraceae",0.3898840245734,0.158994001362145,11,188.37039684811
"16283","M5147_Bgtw12_gut","Lactobacillaceae",1.30387455787465,0.300007660303888,2,29.4994550885002
"17277","M5147_Bgtw12_gut","Leuconostocaceae",0.322787333385683,0.519662205172393,1,17.2147053919624
"18266","M5147_Bgtw12_gut","Methanobacteriaceae",0.031622273929494,0.0703148114836023,2,11.5619293342547
"19259","M5147_Bgtw12_gut","Micrococcaceae",0.614956898302086,0.87929347503258,1,20.3024571165007
"20240","M5147_Bgtw12_gut","Pasteurellaceae",0.380650204222019,0.246317122536811,1,18.9596168396818
"21283","M5147_Bgtw12_gut","Peptostreptococcaceae",0.913590443874721,0.646120152622829,5,121.112545574825
"22237","M5147_Bgtw12_gut","Prevotellaceae",1.03673428813787,0.397116557341993,2,42.8752228254563
"23214","M5147_Bgtw12_gut","Rikenellaceae",0.23225456855941,0.309316268518369,2,27.700397107477
"24200","M5147_Bgtw12_gut","Ruminococcaceae",0.758731129730594,0.313481971185984,4,83.3050816177877
"25186","M5147_Bgtw12_gut","Selenomonadaceae",1.84894604484315,4.08844156762063,1,20.4476985823103
"26173","M5147_Bgtw12_gut","Staphylococcaceae",80.7252491213116,141.263713976527,1,21.630898544532
"27157","M5147_Bgtw12_gut","Streptococcaceae",1.07280747742796,0.0908728586248921,2,13.4951072453232
"28148","M5147_Bgtw12_gut","Succinivibrionaceae",0.0912353085507416,0.322517339966757,1,9.78986022129111
"29138","M5147_Bgtw12_gut","Tannerellaceae",2.32918964171641,5.76624893941437,1,19.0583083442831
"30133","M5147_Bgtw12_gut","Veillonellaceae",81.1834421017887,50.5610877086505,3,65.9253000665804
"21284","M5147_Bgtw2_gut.extra","Acidaminococcaceae",0.568821028725631,0.752890509178315,1,18.8308504239347
"31180","M5147_Bgtw2_gut.extra","Actinomycetaceae",0.918495784869813,0.0561854676022279,1,8.94347163981095
"41155","M5147_Bgtw2_gut.extra","Atopobiaceae",0.799969555168813,0.407048580215179,3,56.3805008584339
"51097","M5147_Bgtw2_gut.extra","Bacillaceae",0.478020092390216,1.07498178159254,1,20.1413975610628
"61057","M5147_Bgtw2_gut.extra","Bacteroidaceae",147.162170927778,21.8043685215012,1,11.920830582467
"7984","M5147_Bgtw2_gut.extra","Campylobacteraceae",4.63252277646602,3.95017705508261,1,21.1200943343528
"8768","M5147_Bgtw2_gut.extra","Christensenellaceae",0.669944483144008,0.42296651422704,1,20.24893570832
"9599","M5147_Bgtw2_gut.extra","Clostridiaceae",0.201549120694654,0.0703477751697246,2,23.2289057491558
"10498","M5147_Bgtw2_gut.extra","Clostridiales",0.0225478053443639,0.0558795529290422,1,3.06764391770892
"11403","M5147_Bgtw2_gut.extra","Coriobacteriaceae",0.210018190299041,0.114484847460948,4,52.8506506772271
"12361","M5147_Bgtw2_gut.extra","Desulfovibrionaceae",0.0906019256260664,0.113203887973221,1,9.68103604738195
"13307","M5147_Bgtw2_gut.extra","Eggerthellaceae",122.072470301485,49.9300492019103,2,37.3512965994079
"14302","M5147_Bgtw2_gut.extra","Enterococcaceae",0.469189813704109,0.468561092984582,1,19.416376545434
"15295","M5147_Bgtw2_gut.extra","Erysipelotrichaceae",0.698265705751403,0.273043368356427,5,88.4604646666122
"16284","M5147_Bgtw2_gut.extra","Fusobacteriaceae",0.317499577778416,1.48639200654279,1,13.1681104969473
"17278","M5147_Bgtw2_gut.extra","Lachnospiraceae",0.605913476932635,0.112801272570274,12,152.315832679585
"18267","M5147_Bgtw2_gut.extra","Lactobacillaceae",0.70391510571878,0.367466407113835,1,19.3964759910752
"19260","M5147_Bgtw2_gut.extra","Leuconostocaceae",11.9857998517058,2.23103581172455,1,13.6683343594197
"20241","M5147_Bgtw2_gut.extra","Methanobacteriaceae",0.0836763768050983,0.399013832543306,1,9.02726140720955
"21285","M5147_Bgtw2_gut.extra","Micrococcaceae",5.50703459054727,3.57885380608755,1,20.528032637727
"22238","M5147_Bgtw2_gut.extra","Moraxellaceae",1.40860766271365,4.51774884252729,1,16.9092108277809
"23215","M5147_Bgtw2_gut.extra","Muribaculaceae",0.443853126406791,0.230769474784212,1,18.2767125420359
"24201","M5147_Bgtw2_gut.extra","Pasteurellaceae",223.152501118622,209.113692161109,2,42.9428630239556
"25187","M5147_Bgtw2_gut.extra","Peptostreptococcaceae",0.230188682789955,0.335346052895432,4,61.8409833917128
"26174","M5147_Bgtw2_gut.extra","Prevotellaceae",1.04578564973313,0.295423077467873,2,35.6253873397175
"27158","M5147_Bgtw2_gut.extra","Rikenellaceae",0.261839507103977,0.291390637993781,1,16.3590224315517
"28149","M5147_Bgtw2_gut.extra","Ruminococcaceae",0.616909296919395,0.157669344571753,4,62.7852785220096
"29139","M5147_Bgtw2_gut.extra","Selenomonadaceae",1.39353208846083,3.22341890067007,1,18.3932830910044
"30134","M5147_Bgtw2_gut.extra","Spirochaetaceae",0.110266584653956,0.206293604818402,1,10.5979564152164
"31181","M5147_Bgtw2_gut.extra","Streptococcaceae",0.527010575709476,0.148856597112148,3,37.0899682485419
"32144","M5147_Bgtw2_gut.extra","Succinivibrionaceae",0.292996900927914,0.521941481656855,1,15.990736416626
"33129","M5147_Bgtw2_gut.extra","Veillonellaceae",0.53080426202182,0.16941663074678,3,43.56960270837
"21286","M5147_Bgtw2_gut","Acidaminococcaceae",158.202977020739,158.415259809462,1,36.0409831995106
"31182","M5147_Bgtw2_gut","Actinomycetaceae",185.044169415036,49.6345950763551,1,26.8313708594503
"41156","M5147_Bgtw2_gut","Akkermansiaceae",0.709114616736959,0.70532262799566,1,34.5147213914623
"51098","M5147_Bgtw2_gut","Atopobiaceae",1.22881770394803,0.228803844562499,3,95.9065948174132
"61058","M5147_Bgtw2_gut","Bacteroidaceae",94.604665761006,31.5269891015465,1,29.2414378099016
"7985","M5147_Bgtw2_gut","Bifidobacteriaceae",1.15855225056146,0.095199234762469,2,23.6200023939494
"8769","M5147_Bgtw2_gut","Campylobacteraceae",441.733277288973,312.381235524258,1,35.7806585163125
"9600","M5147_Bgtw2_gut","Candidatus",0.130159970562548,0.569076940187367,1,18.5639654630915
"10499","M5147_Bgtw2_gut","Christensenellaceae",0.531478557185747,0.0989506888265859,1,24.1891465962511
"11404","M5147_Bgtw2_gut","Clostridiaceae",0.299800616830244,0.0981813148144232,2,39.3582223528425
"12362","M5147_Bgtw2_gut","Clostridiales",0.0523799348907155,0.0229694630785397,1,9.22750323285802
"13308","M5147_Bgtw2_gut","Coriobacteriaceae",0.377379402024061,0.252252354436871,3,86.8003701169217
"14303","M5147_Bgtw2_gut","Desulfovibrionaceae",0.2579150331017,0.34332265341924,1,25.2273852804755
"15296","M5147_Bgtw2_gut","Eggerthellaceae",472.886646767841,88.0215743504542,2,44.6533446690462
"16285","M5147_Bgtw2_gut","Enterococcaceae",0.925253763462341,1.00818191333116,2,72.3009118632621
"17279","M5147_Bgtw2_gut","Erysipelotrichaceae",0.605050074268388,0.137206742057634,5,105.98350924338
"18268","M5147_Bgtw2_gut","Fusobacteriaceae",0.572534063122892,4.13536790886693,1,18.3556666683184
"19261","M5147_Bgtw2_gut","Lachnospiraceae",0.448273537826782,0.0783438212847975,11,187.536704831224
"20242","M5147_Bgtw2_gut","Lactobacillaceae",7.80496100290248,6.86892413669878,1,35.7991250225553
"21287","M5147_Bgtw2_gut","Leuconostocaceae",185.309743929271,71.6446433419581,2,61.5534660715778
"22239","M5147_Bgtw2_gut","Methanobacteriaceae",0.28140682149982,0.508285814926805,1,26.2844974410477
"23216","M5147_Bgtw2_gut","Micrococcaceae",14.2816579338176,8.29833879951362,1,34.1279035799952
"24202","M5147_Bgtw2_gut","Moraxellaceae",1.89809675646586,5.95388152682661,1,28.8020154006075
"25188","M5147_Bgtw2_gut","Muribaculaceae",0.282489603913759,0.106162194526168,1,19.907080808277
"26175","M5147_Bgtw2_gut","Pasteurellaceae",1.08444361844369,0.674776515240505,2,65.2781840230939
"27159","M5147_Bgtw2_gut","Peptostreptococcaceae",0.802804265196914,0.521270496035434,4,133.77071944755
"28150","M5147_Bgtw2_gut","Prevotellaceae",0.768105021760276,0.125699942638437,2,39.6163305775401
"29140","M5147_Bgtw2_gut","Rikenellaceae",0.18220923701799,0.0650983159747139,1,18.7832657309336
"30135","M5147_Bgtw2_gut","Ruminococcaceae",0.544209862982967,0.173459728924718,5,121.901009261806
"31183","M5147_Bgtw2_gut","Selenomonadaceae",35.0192395979904,99.8404878664352,2,59.5560423303465
"32145","M5147_Bgtw2_gut","Spirochaetaceae",0.270960478531153,0.391281422524621,1,26.0047602031961
"33130","M5147_Bgtw2_gut","Streptococcaceae",1.60640044293847,0.110811682494196,2,21.8655026748427
"34124","M5147_Bgtw2_gut","Succinivibrionaceae",0.727088137437279,1.27012523840404,2,68.5026295207058
"35119","M5147_Bgtw2_gut","Tannerellaceae",0.888543677003252,0.887354181456222,1,34.9721260680418
