"","est","lower","upper","Study"
"M5142_StL.TW29.1_fecal",-0.722294763238911,-0.795148475131922,-0.6494410513459,"M5142_StL.TW29.1_fecal"
"M5142_StL.TW29.2_fecal",-0.72238025219852,-0.795253602597635,-0.649506901799405,"M5142_StL.TW29.2_fecal"
"M5142_StL.TW3.1_fecal",-0.72255379733425,-0.795462758664017,-0.649644836004482,"M5142_StL.TW3.1_fecal"
"M5142_StL.TW3.2_fecal",-0.722415357358046,-0.79529524831477,-0.649535466401322,"M5142_StL.TW3.2_fecal"
"M5142_StL.TW30.1_fecal",-0.722392872007824,-0.795266781789083,-0.649518962226565,"M5142_StL.TW30.1_fecal"
"M5142_StL.TW30.2_fecal",-0.722472056632984,-0.795364537584039,-0.649579575681928,"M5142_StL.TW30.2_fecal"
"M5142_StL.TW32.1_fecal",-0.722205501254242,-0.795042269744543,-0.64936873276394,"M5142_StL.TW32.1_fecal"
"M5142_StL.TW32.2_fecal",-0.722315621923726,-0.795175401322151,-0.649455842525301,"M5142_StL.TW32.2_fecal"
"M5142_StL.TW33.1_fecal",-0.72248492828041,-0.795377793506643,-0.649592063054177,"M5142_StL.TW33.1_fecal"
"M5142_StL.TW33.2_fecal",-0.72262967317147,-0.795555028590679,-0.649704317752261,"M5142_StL.TW33.2_fecal"
"M5142_StL.TW35.1_fecal",-0.722261849454719,-0.795110696486088,-0.649413002423351,"M5142_StL.TW35.1_fecal"
"M5142_StL.TW35.2_fecal",-0.722373529163108,-0.795243457546774,-0.649503600779442,"M5142_StL.TW35.2_fecal"
"M5142_StL.TW36.1_fecal",-0.722451518752986,-0.795339355279585,-0.649563682226387,"M5142_StL.TW36.1_fecal"
"M5142_StL.TW36.2_fecal",-0.722284966444666,-0.795139864751154,-0.649430068138179,"M5142_StL.TW36.2_fecal"
"M5142_StL.TW37.1_fecal",-0.722382245800426,-0.79525375519799,-0.649510736402862,"M5142_StL.TW37.1_fecal"
"M5142_StL.TW37.2_fecal",-0.722293512401799,-0.795147261171079,-0.64943976363252,"M5142_StL.TW37.2_fecal"
"M5142_StL.TW39.1_fecal",-0.722586477684224,-0.795505987073668,-0.649666968294781,"M5142_StL.TW39.1_fecal"
"M5142_StL.TW39.2_fecal",-0.722458736501787,-0.795348993531593,-0.649568479471981,"M5142_StL.TW39.2_fecal"
"M5142_StL.TW4.1_fecal",-0.722289464416893,-0.795144276071158,-0.649434652762629,"M5142_StL.TW4.1_fecal"
"M5142_StL.TW4.2_fecal",-0.722418724551067,-0.795297589203096,-0.649539859899038,"M5142_StL.TW4.2_fecal"
"M5142_StL.TW40.1_fecal",-0.722274475133059,-0.795125437467696,-0.649423512798422,"M5142_StL.TW40.1_fecal"
"M5142_StL.TW40.2_fecal",-0.722333930306539,-0.795196124235323,-0.649471736377755,"M5142_StL.TW40.2_fecal"
"M5142_StL.TW42.1_fecal",-0.722299636066436,-0.795154283475716,-0.649444988657156,"M5142_StL.TW42.1_fecal"
"M5142_StL.TW42.2_fecal",-0.722409205868233,-0.795286375223073,-0.649532036513392,"M5142_StL.TW42.2_fecal"
"M5142_StL.TW43.1_fecal",-0.722479849885473,-0.795371869109921,-0.649587830661025,"M5142_StL.TW43.1_fecal"
"M5142_StL.TW43.2_fecal",-0.722482099729367,-0.795375119434898,-0.649589080023835,"M5142_StL.TW43.2_fecal"
"M5142_StL.TW44.1_fecal",-0.72224622362381,-0.795093419205722,-0.649399028041898,"M5142_StL.TW44.1_fecal"
"M5142_StL.TW44.2_fecal",-0.722356252362439,-0.795224549173296,-0.649487955551583,"M5142_StL.TW44.2_fecal"
"M5142_StL.TW45.1_fecal",-0.722427862096845,-0.795313145967298,-0.649542578226391,"M5142_StL.TW45.1_fecal"
"M5142_StL.TW45.2_fecal",-0.722576094734584,-0.795489970266045,-0.649662219203123,"M5142_StL.TW45.2_fecal"
"M5142_StL.TW47.1_fecal",-0.722467608371981,-0.795356537824231,-0.649578678919732,"M5142_StL.TW47.1_fecal"
"M5142_StL.TW47.2_fecal",-0.722353155771008,-0.795221083162227,-0.64948522837979,"M5142_StL.TW47.2_fecal"
"M5142_StL.TW5.1_fecal",-0.72258790705923,-0.795507782071318,-0.649668032047143,"M5142_StL.TW5.1_fecal"
"M5142_StL.TW5.2_fecal",-0.722539761191872,-0.795444574800656,-0.649634947583087,"M5142_StL.TW5.2_fecal"
"M5142_StL.TW6.1_fecal",-0.722280041037201,-0.795131949759128,-0.649428132315273,"M5142_StL.TW6.1_fecal"
"M5142_StL.TW6.2_fecal",-0.722414468703982,-0.795293616323465,-0.649535321084498,"M5142_StL.TW6.2_fecal"
"M5142_StL.TW8.1_fecal",-0.722331022373424,-0.795192759787026,-0.649469284959821,"M5142_StL.TW8.1_fecal"
"M5142_StL.TW8.2_fecal",-0.722362298905271,-0.795231379690565,-0.649493218119976,"M5142_StL.TW8.2_fecal"
"M5147_Bgmal1_gut",-0.722255718918872,-0.795113366274114,-0.649398071563631,"M5147_Bgmal1_gut"
"M5147_Bgmal10_gut",-0.722138152845184,-0.794974350155005,-0.649301955535364,"M5147_Bgmal10_gut"
"M5147_Bgmal22_gut",-0.721810152380294,-0.79461210058291,-0.649008204177678,"M5147_Bgmal22_gut"
"M5147_Bgmal25_gut",-0.722255768852832,-0.795117751334002,-0.649393786371663,"M5147_Bgmal25_gut"
"M5147_Bgmal3_gut",-0.722275280113341,-0.795136619758589,-0.649413940468092,"M5147_Bgmal3_gut"
"M5147_Bgmal32_gut",-0.7228288800625,-0.795794969180532,-0.649862790944468,"M5147_Bgmal32_gut"
"M5147_Bgmal37_gut",-0.722224945464253,-0.795076265500221,-0.649373625428286,"M5147_Bgmal37_gut"
"M5147_Bgmal40_gut",-0.722158955712384,-0.795004375209758,-0.64931353621501,"M5147_Bgmal40_gut"
"M5147_Bgmal41_gut",-0.722338527292244,-0.795213303532159,-0.649463751052328,"M5147_Bgmal41_gut"
"M5147_Bgmal43_gut",-0.722314154341135,-0.795182049144474,-0.649446259537796,"M5147_Bgmal43_gut"
"M5147_Bgmal44_gut",-0.722090882078117,-0.794926912836569,-0.649254851319666,"M5147_Bgmal44_gut"
"M5147_Bgmal45_gut",-0.722411993499006,-0.795296992439684,-0.649526994558327,"M5147_Bgmal45_gut"
"M5147_Bgmal5_gut",-0.722204022211496,-0.795053635070614,-0.649354409352379,"M5147_Bgmal5_gut"
"M5147_Bgmal50_gut",-0.722143642140237,-0.794987819137637,-0.649299465142837,"M5147_Bgmal50_gut"
"M5147_Bgmal56_gut",-0.722978214266846,-0.79598270714145,-0.649973721392242,"M5147_Bgmal56_gut"
"M5147_Bgmal57_gut",-0.722195301770393,-0.795046772977677,-0.649343830563109,"M5147_Bgmal57_gut"
"M5147_Bgmal60_gut",-0.722443446586867,-0.795333409376519,-0.649553483797215,"M5147_Bgmal60_gut"
"M5147_Bgmal63_gut",-0.722555289487394,-0.795465531549106,-0.649645047425683,"M5147_Bgmal63_gut"
"M5147_Bgmal64_gut",-0.722386960745425,-0.795268921725772,-0.649504999765077,"M5147_Bgmal64_gut"
"M5147_Bgmal7_gut",-0.722061883947633,-0.794884901463919,-0.649238866431347,"M5147_Bgmal7_gut"
"M5147_Bgsng7018_gut",-0.722269580634234,-0.795128785365202,-0.649410375903265,"M5147_Bgsng7018_gut"
"M5147_Bgsng7035_gut",-0.72242278143144,-0.795307012313481,-0.649538550549398,"M5147_Bgsng7035_gut"
"M5147_Bgsng7052_gut",-0.7226019955802,-0.795519737950426,-0.649684253209973,"M5147_Bgsng7052_gut"
"M5147_Bgsng7063_gut",-0.722199660848888,-0.795048655398243,-0.649350666299533,"M5147_Bgsng7063_gut"
"M5147_Bgsng7071_gut",-0.722266696116853,-0.795127510699258,-0.649405881534448,"M5147_Bgsng7071_gut"
"M5147_Bgsng7082_gut",-0.722289705292424,-0.795154339624673,-0.649425070960174,"M5147_Bgsng7082_gut"
"M5147_Bgsng7090_gut",-0.722572884244306,-0.795484377332286,-0.649661391156326,"M5147_Bgsng7090_gut"
"M5147_Bgsng7096_gut",-0.722437722366206,-0.795326949361496,-0.649548495370917,"M5147_Bgsng7096_gut"
"M5147_Bgsng7106_gut",-0.722571391485248,-0.795480978793241,-0.649661804177254,"M5147_Bgsng7106_gut"
"M5147_Bgsng7114_gut",-0.722336457603145,-0.795207969734815,-0.649464945471475,"M5147_Bgsng7114_gut"
"M5147_Bgsng7115_gut",-0.722308105350971,-0.795172993069101,-0.649443217632841,"M5147_Bgsng7115_gut"
"M5147_Bgsng7128_gut",-0.722290742066622,-0.795159021760691,-0.649422462372553,"M5147_Bgsng7128_gut"
"M5147_Bgsng7131_gut",-0.722377368864406,-0.795258827888347,-0.649495909840464,"M5147_Bgsng7131_gut"
"M5147_Bgsng7142_gut",-0.722401526494049,-0.795284606456195,-0.649518446531903,"M5147_Bgsng7142_gut"
"M5147_Bgsng7149_gut",-0.722651872799406,-0.795580194390891,-0.649723551207921,"M5147_Bgsng7149_gut"
"M5147_Bgsng7150_gut",-0.722627881644003,-0.795551726590503,-0.649704036697502,"M5147_Bgsng7150_gut"
"M5147_Bgsng7155_gut",-0.722614719097803,-0.795534135844418,-0.649695302351187,"M5147_Bgsng7155_gut"
"M5147_Bgsng7173_gut",-0.722888200697958,-0.795865174576496,-0.64991122681942,"M5147_Bgsng7173_gut"
"M5147_Bgsng7177_gut",-0.722673549533566,-0.795605209688601,-0.649741889378532,"M5147_Bgsng7177_gut"
"M5147_Bgsng7178_gut",-0.722718911633421,-0.79566347765692,-0.649774345609923,"M5147_Bgsng7178_gut"
"M5147_Bgsng7192_gut",-0.722580668077014,-0.795494062248774,-0.649667273905255,"M5147_Bgsng7192_gut"
"M5147_Bgsng7202_gut",-0.722631052749595,-0.795557092366929,-0.64970501313226,"M5147_Bgsng7202_gut"
"M5147_Bgsng7204_gut",-0.722531962736883,-0.795440391290845,-0.64962353418292,"M5147_Bgsng7204_gut"
