"","est","lower","upper","Study"
"M5142_StL.TW45.2_fecal",-0.738266562297703,-0.811396842808113,-0.665136281787292,"M5142_StL.TW45.2_fecal"
"M5142_StL.TW47.1_fecal",-0.738266421772409,-0.811395130356281,-0.665137713188536,"M5142_StL.TW47.1_fecal"
"M5142_StL.TW47.2_fecal",-0.738189109185084,-0.811309967513908,-0.665068250856259,"M5142_StL.TW47.2_fecal"
"M5142_StL.TW5.1_fecal",-0.738336553185906,-0.811478392858968,-0.665194713512843,"M5142_StL.TW5.1_fecal"
"M5142_StL.TW5.2_fecal",-0.738347573966153,-0.811486420559789,-0.665208727372517,"M5142_StL.TW5.2_fecal"
"M5142_StL.TW6.1_fecal",-0.7378248300479,-0.810903646728578,-0.664746013367222,"M5142_StL.TW6.1_fecal"
"M5142_StL.TW6.2_fecal",-0.737934560429192,-0.811025082774893,-0.66484403808349,"M5142_StL.TW6.2_fecal"
"M5142_StL.TW8.1_fecal",-0.738014135755221,-0.811111347365451,-0.664916924144992,"M5142_StL.TW8.1_fecal"
"M5142_StL.TW8.2_fecal",-0.738062303959347,-0.811166639500733,-0.664957968417961,"M5142_StL.TW8.2_fecal"
"M5147_Bgmal1_gut",-0.737915540273629,-0.81100866790556,-0.664822412641699,"M5147_Bgmal1_gut"
"M5147_Bgmal10_gut",-0.73798722218195,-0.811085514761991,-0.664888929601909,"M5147_Bgmal10_gut"
"M5147_Bgmal22_gut",-0.737381209672465,-0.810441462404151,-0.66432095694078,"M5147_Bgmal22_gut"
"M5147_Bgmal25_gut",-0.737943799560108,-0.811047625075223,-0.664839974044993,"M5147_Bgmal25_gut"
"M5147_Bgmal3_gut",-0.738136549345657,-0.81125655237891,-0.665016546312405,"M5147_Bgmal3_gut"
"M5147_Bgmal32_gut",-0.738343847151296,-0.811492043387782,-0.66519565091481,"M5147_Bgmal32_gut"
"M5147_Bgmal37_gut",-0.737945237801278,-0.811040743207656,-0.664849732394901,"M5147_Bgmal37_gut"
"M5147_Bgmal40_gut",-0.737910778786926,-0.811004725482671,-0.66481683209118,"M5147_Bgmal40_gut"
"M5147_Bgmal41_gut",-0.737813093199057,-0.810901956198087,-0.664724230200027,"M5147_Bgmal41_gut"
"M5147_Bgmal43_gut",-0.738320592523915,-0.811462376160735,-0.665178808887094,"M5147_Bgmal43_gut"
"M5147_Bgmal44_gut",-0.737792688275902,-0.810880050655552,-0.664705325896252,"M5147_Bgmal44_gut"
"M5147_Bgmal45_gut",-0.738190252453326,-0.811315455268363,-0.66506504963829,"M5147_Bgmal45_gut"
"M5147_Bgmal5_gut",-0.737981494965466,-0.811083088687837,-0.664879901243096,"M5147_Bgmal5_gut"
"M5147_Bgmal50_gut",-0.73803336995149,-0.811146638649468,-0.664920101253513,"M5147_Bgmal50_gut"
"M5147_Bgmal56_gut",-0.7383665057799,-0.811523312772125,-0.665209698787676,"M5147_Bgmal56_gut"
"M5147_Bgmal57_gut",-0.738006699459439,-0.811112452007256,-0.664900946911622,"M5147_Bgmal57_gut"
"M5147_Bgmal60_gut",-0.738164583346831,-0.811298238337696,-0.665030928355966,"M5147_Bgmal60_gut"
"M5147_Bgmal63_gut",-0.738327230350082,-0.811473424204522,-0.665181036495642,"M5147_Bgmal63_gut"
"M5147_Bgmal64_gut",-0.738237161986149,-0.811370781536837,-0.665103542435462,"M5147_Bgmal64_gut"
"M5147_Bgmal7_gut",-0.737784487090555,-0.810860600544361,-0.664708373636749,"M5147_Bgmal7_gut"
"M5147_Bgsng7018_gut",-0.737892823729178,-0.810983609265617,-0.664802038192738,"M5147_Bgsng7018_gut"
"M5147_Bgsng7035_gut",-0.738402778512705,-0.81155625281269,-0.66524930421272,"M5147_Bgsng7035_gut"
"M5147_Bgsng7052_gut",-0.738342073267889,-0.811486643482171,-0.665197503053606,"M5147_Bgsng7052_gut"
"M5147_Bgsng7063_gut",-0.738001026108444,-0.811100248932838,-0.66490180328405,"M5147_Bgsng7063_gut"
"M5147_Bgsng7071_gut",-0.737895311516803,-0.810989714766809,-0.664800908266797,"M5147_Bgsng7071_gut"
"M5147_Bgsng7082_gut",-0.738061588162379,-0.811173630544934,-0.664949545779825,"M5147_Bgsng7082_gut"
"M5147_Bgsng7090_gut",-0.738080683246664,-0.811188561270759,-0.66497280522257,"M5147_Bgsng7090_gut"
"M5147_Bgsng7096_gut",-0.738189547006886,-0.811315386766587,-0.665063707247185,"M5147_Bgsng7096_gut"
"M5147_Bgsng7106_gut",-0.738354230547768,-0.811497319151931,-0.665211141943605,"M5147_Bgsng7106_gut"
"M5147_Bgsng7114_gut",-0.738105121969129,-0.811217786450967,-0.66499245748729,"M5147_Bgsng7114_gut"
"M5147_Bgsng7115_gut",-0.738142209143434,-0.81125918307409,-0.665025235212778,"M5147_Bgsng7115_gut"
"M5147_Bgsng7128_gut",-0.73805532889123,-0.811168736199597,-0.664941921582864,"M5147_Bgsng7128_gut"
"M5147_Bgsng7131_gut",-0.738188063145993,-0.811314426637774,-0.665061699654212,"M5147_Bgsng7131_gut"
"M5147_Bgsng7142_gut",-0.738105647829034,-0.811223678191794,-0.664987617466274,"M5147_Bgsng7142_gut"
"M5147_Bgsng7149_gut",-0.738267291367013,-0.811404782127862,-0.665129800606165,"M5147_Bgsng7149_gut"
"M5147_Bgsng7150_gut",-0.738224306807711,-0.811351808144554,-0.665096805470868,"M5147_Bgsng7150_gut"
"M5147_Bgsng7155_gut",-0.738119009327868,-0.81123470198548,-0.665003316670256,"M5147_Bgsng7155_gut"
"M5147_Bgsng7173_gut",-0.738585647180807,-0.811764544794274,-0.66540674956734,"M5147_Bgsng7173_gut"
"M5147_Bgsng7177_gut",-0.738427385516193,-0.811582935529979,-0.665271835502408,"M5147_Bgsng7177_gut"
"M5147_Bgsng7178_gut",-0.738449743442633,-0.811610815106249,-0.665288671779017,"M5147_Bgsng7178_gut"
