sample_accession	strain	collection_date	isol_growth_condt	organism	env_broad_scale	BioSampleModel	samp_store_temp	samp_collect_device	env_local_scale	host_age_days	host_subject_id	isolate	ENA-FIRST-PUBLIC	cultivar	ENA-LAST-UPDATE	samp_vol_we_dna_ext	host	geo_loc_name	ecotype	env_medium	lat_lon	DNA extraction kit	INSDC secondary accession	control identifier	WRrepeats	sex	16S rRNA gene copies per ul	tissue	Read counts following bioinformatics	sample_type	NCBI submission package	BRrepeats	Read counts from sequencer	age	biomaterial_provider	isolation_source
SAMN25174471																																				
SAMN25174470																																				
SAMN25174465																																				
SAMN25174464																																				
SAMN25174463																																				
SAMN25174462																																				
SAMN25174402																																				
SAMN25174397																																				
SAMN25174376																																				
SAMN25174391																																				
SAMN25174389																																				
SAMN25180180																																				
SAMN25180179																																				
SAMN25180177																																				
SAMN25180175																																				
SAMN25180171																																				
SAMN25180166																																				
SAMN25180142																																				
SAMN25180160																																				
SAMN25180158																																				
SAMN25180153																																				
SAMN25180147																																				
SAMN25180146																																				
SAMN25180192																																				
SAMN25180191																																				
SAMN25180189																																				
SAMN25290415																																				
SAMN25290413																																				
SAMN25290350																																				
SAMN25290410																																				
SAMN25290349																																				
SAMN25290402																																				
SAMN25290400																																				
SAMN25290399																																				
SAMN25290442																																				
SAMN25290440																																				
SAMN25290439																																				
SAMN25290438																																				
SAMN25290437																																				
SAMN25290378																																				
SAMN25290377																																				
SAMN25290374																																				
SAMN25290372																																				
SAMN25290370																																				
SAMN25290369																																				
SAMN25290365																																				
SAMN25290363																																				
SAMN25290345																																				
SAMN25290433																																				
SAMN25290352																																				
SAMN25290432																																				
SAMN25290430																																				
SAMN25290429																																				
SAMN25290428																																				
SAMN25290427																																				
SAMN25290422																																				
SAMN25290421																																				
SAMN25290362																																				
SAMN25290358																																				
SAMN25290490																																				
SAMN25290488																																				
SAMN25290484																																				
SAMN25290482																																				
SAMN25290480																																				
SAMN25290477																																				
SAMN25290397																																				
SAMN25290394																																				
SAMN25290348																																				
SAMN25290392																																				
SAMN25290384																																				
SAMN25290382																																				
SAMN25290381																																				
SAMN25290476																																				
SAMN25290475																																				
SAMN25290473																																				
SAMN25290356																																				
SAMN25290468																																				
SAMN25290463																																				
SAMN25290355																																				
SAMN25290462																																				
SAMN25290460																																				
SAMN25290459																																				
SAMN25290453																																				
SAMN25290448																																				
SAMN25290444																																				
SAMN25290443																																				
SAMN25290344																																				
SAMN25290343																																				
SAMN25345185																																				
SAMN25345183																																				
SAMN25345181																																				
SAMN25345178																																				
SAMN25345173																																				
SAMN25345172																																				
SAMN25345171																																				
SAMN25345096																																				
SAMN25345167																																				
SAMN25345162																																				
SAMN25345161																																				
SAMN25345134																																				
SAMN25345132																																				
SAMN25345128																																				
SAMN25345092																																				
SAMN25345127																																				
SAMN25345125																																				
SAMN25345119																																				
SAMN25345116																																				
SAMN25345110																																				
SAMN25345109																																				
SAMN25345090																																				
SAMN25345106																																				
SAMN25345102																																				
SAMN25345099																																				
SAMN25345195																																				
SAMN25345194																																				
SAMN25345192																																				
SAMN25345188																																				
SAMN25345088																																				
SAMN25345095																																				
SAMN25345148																																				
SAMN25345143																																				
SAMN25691153																																				
SAMN25691149																																				
SAMN25691148																																				
SAMN25691147																																				
SAMN25691140																																				
SAMN25691137																																				
SAMN25691083																																				
SAMN25691172																																				
SAMN25691169																																				
SAMN25691168																																				
SAMN25691166																																				
SAMN25691164																																				
SAMN25691163																																				
SAMN25691157																																				
SAMN25691085																																				
SAMN25691156																																				
SAMN25691155																																				
SAMN25691132																																				
SAMN25691124																																				
SAMN25691122																																				
SAMN25691212																																				
SAMN25691208																																				
SAMN25691207																																				
SAMN25691090																																				
SAMN25691205																																				
SAMN25691203																																				
SAMN25691202																																				
SAMN25691200																																				
SAMN25691176																																				
SAMN25691175																																				
SAMN25691098																																				
SAMN25691079																																				
SAMN25691092																																				
SAMN25691218																																				
SAMN25691217																																				
SAMN25691091																																				
SAMN25691216																																				
SAMN25691214																																				
SAMN25691192																																				
SAMN25691188																																				
SAMN25691187																																				
SAMN25691183																																				
SAMN25691179																																				
SAMN25691178																																				
SAMN25691115																																				
SAMN25691114																																				
SAMN25691113																																				
SAMN25691109																																				
SAMN25691108																																				
SAMN25691103																																				
SAMN25691101																																				
SAMN25695004																																				
SAMN25695003																																				
SAMN25695001																																				
SAMN25694999																																				
SAMN25694996																																				
SAMN25694993																																				
SAMN25694991																																				
SAMN25694990																																				
SAMN25695020																																				
SAMN25695014																																				
SAMN25695013																																				
SAMN25694932																																				
SAMN25695009																																				
SAMN25695006																																				
SAMN25694959																																				
SAMN25694958																																				
SAMN25694954																																				
SAMN25694953																																				
SAMN25694926																																				
SAMN25694950																																				
SAMN25694948																																				
SAMN25694944																																				
SAMN25694943																																				
SAMN25694939																																				
SAMN25694937																																				
SAMN25694935																																				
SAMN25694934																																				
SAMN25694987																																				
SAMN25694986																																				
SAMN25694985																																				
SAMN25694980																																				
SAMN25694974																																				
SAMN25694928																																				
