sample_accession	collection_date	INSDC secondary accession	NCBI submission package	organism	geo_loc_name	lat_lon	isolation_source	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN06209734	2012-08-31	SRS1910877	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209788	2013-08-05	SRS1910881	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209813	2012-12-24	SRS1910884	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209744	2012-09-17	SRS1910886	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209831	2012-10-24	SRS1910890	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209776	2013-01-28	SRS1910892	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209826	2012-10-29	SRS1910895	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_F	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209737	2012-09-24	SRS1910896	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209746	2012-11-05	SRS1910897	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209739	2012-09-05	SRS1910898	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209793	2012-08-20	SRS1910900	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209847	2013-06-14	SRS1910903	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209808	2013-02-21	SRS1910904	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209736	2012-07-30	SRS1910909	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209843	2013-05-10	SRS1910910	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209786	2013-10-09	SRS1910912	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209814	2013-01-02	SRS1910913	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209755	2013-07-17	SRS1910915	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209815	2013-02-01	SRS1910921	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209821	2013-06-28	SRS1910923	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209784	2013-10-02	SRS1910933	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209812	2012-12-05	SRS1910938	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209796	2012-11-16	SRS1910939	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_C	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209828	2012-09-26	SRS1910940	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209805	2012-10-01	SRS1910943	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209740	2012-09-07	SRS1910945	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_D	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209774	2013-03-06	SRS1910946	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_E	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209816	2013-03-01	SRS1910947	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209766	2012-12-17	SRS1910950	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_B	Metagenome or environmental	2017-01-15	2021-02-28
SAMN06209733	2012-08-29	SRS1910951	Metagenome.environmental.1.0	human lung metagenome	Canada: Calgary	51.06 N 114.13 W	participant_A	Metagenome or environmental	2017-01-15	2021-02-28
