sample_accession	collection_date	INSDC secondary accession	NCBI submission package	organism	host	geo_loc_name	lat_lon	samp_collect_device	BioSampleModel	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
SAMN11103945	2014-10-01T00:05:15Z	SRS4474595	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103943	2014-10-01T00:05:13Z	SRS4474593	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103949	2014-10-01T00:05:19Z	SRS4474588	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103722	2014-10-01T00:01:32Z	SRS4474587	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104036	2014-10-01T00:06:46Z	SRS4474584	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103727	2014-10-01T00:01:37Z	SRS4474581	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103804	2014-10-01T00:02:54Z	SRS4474576	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103802	2014-10-01T00:02:52Z	SRS4474575	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103800	2014-10-01T00:02:50Z	SRS4474572	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103672	2014-10-01T00:00:42Z	SRS4474567	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103676	2014-10-01T00:00:46Z	SRS4474563	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103675	2014-10-01T00:00:45Z	SRS4474562	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103674	2014-10-01T00:00:44Z	SRS4474561	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103922	2014-10-01T00:04:52Z	SRS4474559	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103927	2014-10-01T00:04:57Z	SRS4474557	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103982	2014-10-01T00:05:52Z	SRS4474552	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103986	2014-10-01T00:05:56Z	SRS4474548	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103980	2014-10-01T00:05:50Z	SRS4474550	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103985	2014-10-01T00:05:55Z	SRS4474545	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104080	2014-10-01T00:07:30Z	SRS4474543	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103855	2014-10-01T00:03:45Z	SRS4474991	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103767	2014-10-01T00:02:17Z	SRS4474979	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103760	2014-10-01T00:02:10Z	SRS4474982	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103769	2014-10-01T00:02:19Z	SRS4474975	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103889	2014-10-01T00:04:19Z	SRS4474974	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104045	2014-10-01T00:06:55Z	SRS4474967	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104044	2014-10-01T00:06:54Z	SRS4474966	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103645	2014-10-01T00:00:15Z	SRS4474958	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103896	2014-10-01T00:04:26Z	SRS4474947	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103893	2014-10-01T00:04:23Z	SRS4474950	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103936	2014-10-01T00:05:06Z	SRS4474940	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103931	2014-10-01T00:05:01Z	SRS4474939	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103934	2014-10-01T00:05:04Z	SRS4474942	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103930	2014-10-01T00:05:00Z	SRS4474938	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103912	2014-10-01T00:04:42Z	SRS4474933	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103913	2014-10-01T00:04:43Z	SRS4474932	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104028	2014-10-01T00:06:38Z	SRS4474931	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104029	2014-10-01T00:06:39Z	SRS4474930	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11104020	2014-10-01T00:06:30Z	SRS4474923	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103992	2014-10-01T00:06:02Z	SRS4474920	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103715	2014-10-01T00:01:25Z	SRS4474916	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103718	2014-10-01T00:01:28Z	SRS4474918	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103799	2014-10-01T00:02:49Z	SRS4474914	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103798	2014-10-01T00:02:48Z	SRS4474913	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103714	2014-10-01T00:01:24Z	SRS4474912	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103797	2014-10-01T00:02:47Z	SRS4474909	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103712	2014-10-01T00:01:22Z	SRS4474903	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103685	2014-10-01T00:00:55Z	SRS4474899	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103686	2014-10-01T00:00:56Z	SRS4474898	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103680	2014-10-01T00:00:50Z	SRS4474896	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103689	2014-10-01T00:00:59Z	SRS4474891	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
SAMN11103979	2014-10-01T00:05:49Z	SRS4474890	Metagenome.environmental.1.0	human gut metagenome	Homo sapiens	USA:Houston, Texas	29.76305555 N 95.36305555 W	Fresh frozen or Epicentre Catch All Collection Swabs	Metagenome or environmental	2019-04-01	2021-09-26
